Model,n_frames,cost,num GPU,Prefill time
Llava-Video-7B,32,1.0,1,917.81
Llava-Video-7B,32,0.3,1,569.56
Llava-Video-7B,32,0.5,1,672.66
Llava-Video-7B,32,0.7,1,771.84
Llava-Video-7B,64,1.0,1,1900.63
Llava-Video-7B,64,0.3,1,1111.81
Llava-Video-7B,64,0.5,1,1317.25
Llava-Video-7B,64,0.7,1,1547.23
Llava-Video-7B,85,1.0,1,2605.55
Llava-Video-7B,85,0.3,1,1472.56
Llava-Video-7B,85,0.5,1,1763.23
Llava-Video-7B,85,0.7,1,2081.31
Llava-Video-7B,107,1.0,1,3377.91
Llava-Video-7B,107,0.3,1,1848.56
Llava-Video-7B,107,0.5,1,2232.30
Llava-Video-7B,107,0.7,1,2669.80
Llava-Video-7B,128,1.0,1,4184.29
Llava-Video-7B,128,0.3,1,2222.68
Llava-Video-7B,128,0.5,1,2699.80
Llava-Video-7B,128,0.7,1,3251.99
Llava-Video-7B,256,1.0,1,9510.37
Llava-Video-7B,256,0.3,1,4499.91
Llava-Video-32B,32,1.0,1,2147.56
Llava-Video-32B,32,0.3,1,912.16
Llava-Video-32B,32,0.5,1,1253.50
Llava-Video-32B,32,0.7,1,1652.82
Llava-Video-32B,64,1.0,1,4506.73
Llava-Video-32B,64,0.3,1,1800.40
Llava-Video-32B,64,0.5,1,2496.15
Llava-Video-32B,64,0.7,1,3244.05
Llava-Video-32B,85,1.0,1,6102.58
Llava-Video-32B,85,0.3,1,2372.43
Llava-Video-32B,85,0.5,1,3380.78
Llava-Video-32B,85,0.7,1,4415.20
Llava-Video-32B,32,1.0,2,2328.48
Llava-Video-32B,32,0.3,2,976.63
Llava-Video-32B,32,0.5,2,1375.00
Llava-Video-32B,32,0.7,2,1800.41
Llava-Video-32B,64,1.0,2,4875.98
Llava-Video-32B,64,0.3,2,1886.05
Llava-Video-32B,64,0.5,2,2697.06
Llava-Video-32B,64,0.7,2,3497.02
Llava-Video-32B,128,1.0,2,10435.84
Llava-Video-32B,128,0.3,2,3751.30
Llava-Video-32B,128,0.5,2,5522.17
Llava-Video-32B,128,0.7,2,7315.20
Llava-Video-72B,32,1.0,4,5378.17
Llava-Video-72B,32,0.3,4,1982.71
Llava-Video-72B,32,0.5,4,2939.21
Llava-Video-72B,32,0.7,4,3875.52
Llava-Video-72B,64,1.0,4,11143.49
Llava-Video-72B,64,0.3,4,3879.13
Llava-Video-72B,64,0.5,4,5833.23
Llava-Video-72B,64,0.7,4,7844.65
Llava-Video-72B,128,1.0,4,24510.41
Llava-Video-72B,128,0.3,4,7760.40
Llava-Video-72B,128,0.5,4,12093.20
Llava-Video-72B,128,0.7,4,16827.84
Llava-Video-72B,256,1.0,4,55913.13
Llava-Video-72B,256,0.3,4,15609.24